classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,2)",2,0.5229,0.5169,0.3571,105.5333,99,110,1.0,0.9984,0.5029
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,3)",3,0.4719,0.4654,0.307,105.2,100,112,1.0,0.9952,0.5061
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,4)",4,0.4556,0.4479,0.292,104.6667,97,110,1.0,0.9921,0.5537
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,5)",5,0.4559,0.4485,0.2915,104.7333,95,111,1.0,0.9968,0.5057
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,6)",6,0.4115,0.404,0.2555,105.9,101,114,1.0,0.9968,0.5192
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,7)",7,0.4176,0.4086,0.2594,104.8,98,114,1.0,0.9968,0.5004
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,8)",8,0.3908,0.3845,0.24,105.3333,100,111,1.0,0.9968,0.5002
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,9)",9,0.3769,0.37,0.2292,106.7407,101,115,1.0,0.9965,0.4948
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,10)",10,0.3698,0.3641,0.2246,106.2963,101,112,1.0,0.9982,0.5253
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,12)",12,0.3711,0.3622,0.223,106.4286,100,117,1.0,0.9932,0.512
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,14)",14,0.3714,0.3642,0.2244,105.3333,100,115,1.0,0.9974,0.5161
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,16)",16,0.3477,0.3417,0.2077,105.5556,99,111,1.0,0.9921,0.5247
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,18)",18,0.3562,0.3528,0.2166,105.6667,102,110,1.0,0.9937,0.5089
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,20)",20,0.3372,0.3293,0.1985,108.1333,103,116,1.0,0.9968,0.5115
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,1)",1,0.6871,0.68,0.5297,101.8,98,108,0.9829,0.9693,0.7809
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,2)",2,0.6273,0.6213,0.4573,102.3667,97,107,0.9874,0.964,0.7535
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,3)",3,0.5738,0.5665,0.3997,102.0667,98,106,0.986,0.9973,0.7553
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,4)",4,0.5652,0.5578,0.3915,101.0667,97,108,0.9862,0.9933,0.7529
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,5)",5,0.5389,0.5326,0.3657,100.0,94,106,0.9862,0.992,0.762
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,6)",6,0.5425,0.5342,0.3675,100.5,96,105,0.9821,0.9893,0.7522
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,7)",7,0.5078,0.5001,0.3363,100.9667,94,110,0.9826,0.9893,0.7504
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,8)",8,0.5106,0.5049,0.3399,100.7,97,105,0.985,0.98,0.7624
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,9)",9,0.5127,0.505,0.3401,100.9,95,106,0.9843,0.98,0.7638
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,10)",10,0.4976,0.4913,0.3282,101.2,96,107,0.9874,0.9787,0.7511
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,12)",12,0.4896,0.4822,0.3202,100.2667,94,105,0.986,0.9733,0.776
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,14)",14,0.4877,0.4819,0.3201,100.5333,95,105,0.986,0.9733,0.78
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,16)",16,0.4768,0.4706,0.31,101.5926,97,107,0.9844,0.9733,0.7555
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,18)",18,0.4792,0.4735,0.3123,101.5833,98,108,0.986,0.97,0.7619
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,20)",20,0.4667,0.4603,0.3008,100.5833,94,105,0.9842,0.965,0.753
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,1)",1,0.4858,0.4684,0.3229,71.6667,57,87,0.9963,0.6514,0.3739
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,2)",2,0.3557,0.3423,0.2143,68.9,55,78,0.9947,0.6472,0.3674
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,3)",3,0.3232,0.3126,0.1902,66.1,56,75,0.9977,0.6722,0.387
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,4)",4,0.2989,0.2838,0.1699,68.7333,56,80,0.997,0.6806,0.3819
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,5)",5,0.2665,0.2578,0.1518,67.5333,58,89,0.9957,0.6875,0.368
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,6)",6,0.2464,0.235,0.1371,68.9,52,88,0.996,0.6792,0.3685
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,7)",7,0.2493,0.2372,0.1387,67.5667,53,86,0.9973,0.6861,0.3706
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,8)",8,0.2493,0.2356,0.1369,65.7333,50,80,0.9953,0.6958,0.3672
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,9)",9,0.2364,0.2247,0.1304,67.9667,52,83,0.996,0.6889,0.3678
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,10)",10,0.219,0.2088,0.1199,65.8333,47,82,0.997,0.6889,0.3642
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,12)",12,0.2252,0.2119,0.1211,65.0,51,82,0.9959,0.6836,0.3674
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,14)",14,0.2349,0.2126,0.1223,67.875,50,92,0.995,0.6962,0.3677
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,16)",16,0.1735,0.1658,0.0933,64.7619,49,81,0.9976,0.6964,0.3636
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,18)",18,0.1842,0.169,0.0945,64.8333,49,82,0.9956,0.7199,0.3649
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,20)",20,0.1935,0.1752,0.0986,66.0,47,87,0.9967,0.7176,0.3684
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,1)",1,0.5191,0.5153,0.3736,97.0333,94,101,0.9956,0.8594,0.8118
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,2)",2,0.3757,0.3729,0.239,97.3667,92,101,0.9956,0.8464,0.8209
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,3)",3,0.3141,0.3114,0.1883,95.3667,91,98,0.9939,0.8536,0.804
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,4)",4,0.3008,0.2981,0.1794,96.0333,93,99,0.9944,0.8449,0.8084
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,5)",5,0.2824,0.28,0.1655,96.5667,92,101,0.9931,0.8362,0.8538
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,6)",6,0.2784,0.2759,0.1625,96.2,90,100,0.9931,0.829,0.8034
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,7)",7,0.2568,0.2546,0.1489,96.2333,91,99,0.9931,0.8304,0.7954
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,8)",8,0.2578,0.2543,0.1483,96.2667,90,100,0.9939,0.829,0.7994
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,9)",9,0.2544,0.2521,0.1462,96.3,89,100,0.9942,0.8449,0.7955
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,10)",10,0.2525,0.2505,0.1456,96.5,93,99,0.9922,0.8493,0.8083
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,12)",12,0.2387,0.2367,0.1363,96.9667,93,100,0.9942,0.8551,0.8012
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,14)",14,0.2356,0.2334,0.1341,97.3333,93,100,0.9938,0.8663,0.8072
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,16)",16,0.2294,0.2262,0.1291,97.5,93,102,0.991,0.8551,0.8214
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,18)",18,0.2211,0.219,0.1244,96.619,93,99,0.9917,0.8758,0.8061
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,20)",20,0.2042,0.2021,0.114,96.3333,92,99,0.9893,0.8696,0.8018
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,1)",1,0.4962,0.4878,0.3426,113.3,104,122,0.9988,0.8652,0.5423
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,2)",2,0.3866,0.3782,0.2394,115.8,109,127,0.9996,0.8522,0.5456
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,3)",3,0.3461,0.3395,0.2079,114.2333,106,123,0.9992,0.8565,0.556
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,4)",4,0.3281,0.3206,0.1945,115.7667,106,127,0.9992,0.8623,0.5586
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,5)",5,0.3109,0.3041,0.182,115.0,103,127,0.9992,0.8565,0.5496
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,6)",6,0.3104,0.3026,0.1807,114.0,102,123,0.9988,0.8435,0.5549
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,7)",7,0.2884,0.2811,0.1657,114.8333,104,126,0.9992,0.8522,0.5448
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,8)",8,0.2776,0.2719,0.1591,116.2667,107,124,0.9992,0.871,0.5399
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,9)",9,0.2814,0.2757,0.1618,115.037,105,122,0.9995,0.8792,0.5368
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,10)",10,0.279,0.2715,0.1593,115.963,107,126,0.9995,0.8599,0.5352
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,12)",12,0.2577,0.2519,0.1458,116.9048,108,124,0.9988,0.9027,0.5388
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,14)",14,0.2555,0.2488,0.144,114.7222,106,122,1.0,0.872,0.5346
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,16)",16,0.2378,0.232,0.1328,116.0,105,125,1.0,0.8913,0.5417
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,18)",18,0.2203,0.2152,0.1221,119.2,111,127,0.9983,0.8928,0.5381
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,20)",20,0.2251,0.2186,0.1244,116.5333,109,129,0.9992,0.8957,0.5341
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,1)",1,0.4295,0.4252,0.289,212.0333,196,226,0.9931,0.877,1.6208
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,2)",2,0.3451,0.3432,0.2129,212.5,196,224,0.9936,0.8897,1.622
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,3)",3,0.3119,0.3078,0.186,208.0333,192,221,0.995,0.8747,1.6208
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,4)",4,0.2907,0.2863,0.1707,211.2333,196,225,0.9936,0.8655,1.6364
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,5)",5,0.3039,0.3002,0.1803,210.0333,194,223,0.9945,0.8977,1.6348
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,6)",6,0.2908,0.2871,0.1711,209.7667,195,227,0.9945,0.9057,1.6266
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,7)",7,0.2863,0.2821,0.1675,207.9667,193,225,0.9951,0.9023,1.627
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,8)",8,0.2758,0.2711,0.1603,209.6333,187,229,0.9962,0.8966,1.6295
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,9)",9,0.2728,0.2675,0.158,210.8333,190,232,0.995,0.8931,1.6222
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,10)",10,0.285,0.2811,0.1669,207.6333,195,220,0.9954,0.8793,1.6122
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,12)",12,0.2651,0.261,0.1534,209.7,197,223,0.9945,0.8862,1.6175
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,14)",14,0.272,0.2676,0.1577,210.3667,194,227,0.9929,0.908,1.6209
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,16)",16,0.2566,0.2526,0.1478,209.7,192,235,0.9933,0.9,1.6044
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,18)",18,0.2521,0.248,0.1447,211.6667,197,238,0.9935,0.8977,1.6279
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,20)",20,0.2554,0.2506,0.1464,213.9,195,234,0.9924,0.8943,1.615
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,1)",1,0.6527,0.6421,0.494,107.4667,101,116,1.0,1.0,0.6792
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,2)",2,0.5633,0.5562,0.393,110.8667,104,119,1.0,0.9958,0.6725
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,3)",3,0.5778,0.5682,0.4059,106.9667,97,112,1.0,0.9972,0.6731
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,4)",4,0.5094,0.5002,0.3375,110.0333,102,118,1.0,0.9972,0.6797
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,5)",5,0.507,0.499,0.3367,109.6667,104,118,1.0,0.9986,0.6794
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,6)",6,0.5037,0.4954,0.3323,108.6333,101,113,1.0,0.9986,0.6752
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,7)",7,0.4847,0.4758,0.3152,109.3667,100,117,1.0,0.9972,0.6762
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,8)",8,0.475,0.4649,0.3059,109.3667,100,118,1.0,0.9958,0.6765
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,9)",9,0.468,0.4606,0.3015,110.4,102,119,1.0,0.9944,0.6771
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,10)",10,0.4727,0.465,0.305,109.5,101,115,1.0,0.9958,0.6935
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,12)",12,0.4564,0.4491,0.2921,108.4,102,119,1.0,0.9917,0.6777
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,14)",14,0.4394,0.4315,0.2776,108.7,100,116,1.0,0.9875,0.673
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,16)",16,0.4479,0.4387,0.2834,108.9667,96,118,1.0,0.9917,0.6751
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,18)",18,0.4521,0.4449,0.2885,109.0,102,117,1.0,0.9889,0.6768
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,20)",20,0.4492,0.4384,0.2826,109.2593,100,120,1.0,0.9877,0.6783
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,1)",1,0.5114,0.5056,0.3583,184.4333,174,195,1.0,0.9984,0.489
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,2)",2,0.3953,0.3917,0.2522,189.3,179,201,1.0,0.9984,0.4908
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,3)",3,0.3482,0.3441,0.2119,186.3333,177,195,1.0,0.9984,0.4892
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,4)",4,0.3232,0.3192,0.1933,187.5,175,200,1.0,0.9968,0.4922
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,5)",5,0.3195,0.3152,0.1899,184.8667,172,193,1.0,0.9984,0.4917
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,6)",6,0.2866,0.2841,0.1681,189.3667,181,196,1.0,0.9984,0.4893
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,7)",7,0.2868,0.2832,0.1674,187.4667,177,196,1.0,0.9968,0.4915
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,8)",8,0.2682,0.2649,0.1548,188.4,177,199,1.0,0.9968,0.4947
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,9)",9,0.2563,0.2531,0.147,187.3704,177,203,1.0,0.9982,0.4928
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,10)",10,0.2546,0.2513,0.1459,187.8889,180,205,1.0,0.9965,0.4925
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,12)",12,0.252,0.2469,0.143,189.8571,174,200,1.0,0.9977,0.4956
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,14)",14,0.251,0.2469,0.1429,189.2778,181,203,1.0,0.9974,0.4929
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,16)",16,0.2386,0.2353,0.1352,188.7778,172,197,1.0,0.9947,0.4942
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,18)",18,0.2454,0.2413,0.1393,187.0,172,198,1.0,0.9968,0.4932
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,20)",20,0.2301,0.2281,0.1306,190.4667,184,200,1.0,0.9937,0.4916
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,1)",1,0.4798,0.475,0.3306,222.2,206,243,0.9905,0.968,0.739
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,2)",2,0.39,0.3861,0.2457,226.2333,213,243,0.9921,0.964,0.7366
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,3)",3,0.3347,0.3317,0.2034,233.2,221,247,0.9924,0.996,0.7475
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,4)",4,0.3255,0.3224,0.1961,232.9333,218,246,0.991,0.9933,0.7426
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,5)",5,0.3046,0.2997,0.1795,229.8333,209,250,0.9924,0.992,0.7449
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,6)",6,0.3068,0.3036,0.182,229.4,215,245,0.9886,0.9853,0.7426
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,7)",7,0.2921,0.2894,0.1721,226.1667,213,241,0.9907,0.988,0.746
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,8)",8,0.2838,0.2809,0.1661,225.9,206,240,0.9924,0.9813,0.741
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,9)",9,0.2938,0.2897,0.172,225.0333,210,239,0.991,0.9813,0.7496
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,10)",10,0.2785,0.2742,0.1617,230.2333,210,253,0.9938,0.9813,0.7402
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,12)",12,0.2716,0.2678,0.1573,227.0,207,242,0.9929,0.976,0.7363
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,14)",14,0.2731,0.2688,0.158,224.9333,205,241,0.9924,0.9747,0.7374
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,16)",16,0.2648,0.2615,0.1532,228.2963,213,242,0.9929,0.9719,0.7416
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,18)",18,0.2656,0.2606,0.1525,225.2083,206,240,0.992,0.9683,0.7407
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Liver,"trains-p-diff(140,20)",20,0.2583,0.2543,0.1483,224.125,208,236,0.9908,0.965,0.7374
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,1)",1,0.2456,0.2509,0.1691,384.6333,368,407,1.0,0.6264,0.3591
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,2)",2,0.1587,0.1617,0.1048,386.8667,372,405,1.0,0.6444,0.3564
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,3)",3,0.1312,0.1338,0.088,390.8333,374,406,1.0,0.6653,0.3616
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,4)",4,0.1197,0.1214,0.0805,388.3333,368,412,0.9997,0.6625,0.3737
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,5)",5,0.111,0.1128,0.0756,390.8,367,412,1.0,0.6861,0.3742
"3_RF_t1e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,6)",6,0.1055,0.1077,0.0728,391.1,376,408,1.0,0.6861,0.3623
